,Unnamed: 0,0,date,0
AAWW,,,2023-04-04,6
ACA,,,2023-04-04,22
ACET,,,2023-04-04,-58
ACHV,,,2023-04-04,-44
AFRM,,,2023-04-04,-28
AGNC,,,2023-04-04,130
ALHC,,,2023-04-04,-44
AMBC,,,2023-04-04,88
AMCX,,,2023-04-04,-18
AMG,,,2023-04-04,10
AMR,,,2023-04-04,9
APEN,,,2023-04-04,-15
APP,,,2023-04-04,-19
APPN,,,2023-04-04,-7
APPS,,,2023-04-04,-25
ARLO,,,2023-04-04,-48
ARLP,,,2023-04-04,66
ASAN,,,2023-04-04,-15
ASPN,,,2023-04-04,-43
ATEX,,,2023-04-04,-10
ATOM,,,2023-04-04,-51
AURA,,,2023-04-04,-35
AVA,,,2023-04-04,32
AVT,,,2023-04-04,30
BALY,,,2023-04-04,-16
BATL,,,2023-04-04,-38
BCBP,,,2023-04-04,106
BCSF,,,2023-04-04,111
BIGC,,,2023-04-04,-34
BIO,,,2023-04-04,3
BLNK,,,2023-04-04,-38
BPOP,,,2023-04-04,24
BRY,,,2023-04-04,160
BSVN,,,2023-04-04,54
CALB,,,2023-04-04,70
CBAY,,,2023-04-04,-35
CDNA,,,2023-04-04,-35
CENX,,,2023-04-04,-32
CFFI,,,2023-04-04,25
CHMG,,,2023-04-04,33
CINF,,,2023-04-04,12
CIVI,,,2023-04-04,19
CLAR,,,2023-04-04,-33
COIN,,,2023-04-04,-5
CPS,,,2023-04-04,-24
CPSS,,,2023-04-04,129
CUTR,,,2023-04-04,-14
CVLY,,,2023-04-04,64
DASH,,,2023-04-04,-5
DAVE,,,2023-04-04,-51
DD,,,2023-04-04,19
DFS,,,2023-04-04,14
DINO,,,2023-04-04,29
DOCN,,,2023-04-04,-8
DX,,,2023-04-04,108
EARN,,,2023-04-04,182
EBS,,,2023-04-04,-31
ECOR,,,2023-04-04,-56
EDIT,,,2023-04-04,-45
EIG,,,2023-04-04,32
ESGR,,,2023-04-04,6
ESTA,,,2023-04-04,-5
ESTC,,,2023-04-04,-6
ESTE,,,2023-04-04,94
EVA,,,2023-04-04,-12
FANG,,,2023-04-04,10
FATE,,,2023-04-04,-56
FBRT,,,2023-04-04,111
FEAM,,,2023-04-04,-61
FF,,,2023-04-04,176
FGEN,,,2023-04-04,-17
FHTX,,,2023-04-04,-52
FIS,,,2023-04-04,-6
FLUX,,,2023-04-04,-31
FLWS,,,2023-04-04,112
FUNC,,,2023-04-04,77
FXNC,,,2023-04-04,84
GEF,,,2023-04-04,22
GH,,,2023-04-04,-13
GIII,,,2023-04-04,-20
GLDD,,,2023-04-04,-57
GLRE,,,2023-04-04,139
HAFC,,,2023-04-04,74
HALL,,,2023-04-04,-45
HBI,,,2023-04-04,-59
HCC,,,2023-04-04,36
HEAR,,,2023-04-04,-30
HIPO,,,2023-04-04,-19
HOUS,,,2023-04-04,-59
HPK,,,2023-04-04,55
HT,,,2023-04-04,203
IBOC,,,2023-04-04,32
ICCH,,,2023-04-04,84
IMMR,,,2023-04-04,154
IMO,,,2023-04-04,25
IMVT,,,2023-04-04,-22
INBX,,,2023-04-04,-18
INGN,,,2023-04-04,-26
INSM,,,2023-04-04,-19
IOVA,,,2023-04-04,-52
IRBT,,,2023-04-04,-8
ISTR,,,2023-04-04,97
KFS,,,2023-04-04,-35
KNTE,,,2023-04-04,-47
LADR,,,2023-04-04,144
LAW,,,2023-04-04,-48
LBTYA,,,2023-04-04,-16
LFCR,,,2023-04-04,-90
LPRO,,,2023-04-04,-44
LYFT,,,2023-04-04,-32
M,,,2023-04-04,71
MAIN,,,2023-04-04,34
MBIN,,,2023-04-04,51
MBWM,,,2023-04-04,45
MCRB,,,2023-04-04,-53
MDB,,,2023-04-04,-2
MDGL,,,2023-04-04,-2
MDWT,,,2023-04-04,-21
MFIC,,,2023-04-04,117
MFIN,,,2023-04-04,189
MNSB,,,2023-04-04,58
MPC,,,2023-04-04,11
MSBI,,,2023-04-04,64
MTG,,,2023-04-04,100
NAVI,,,2023-04-04,83
NCLH,,,2023-04-04,-23
NE,,,2023-04-04,34
NET,,,2023-04-04,-5
NI,,,2023-04-04,48
NKSH,,,2023-04-04,41
NMIH,,,2023-04-04,61
NPO,,,2023-04-04,14
NRP,,,2023-04-04,26
NSTG,,,2023-04-04,-33
NWN,,,2023-04-04,28
OII,,,2023-04-04,76
ONB,,,2023-04-04,96
ORC,,,2023-04-04,122
ORI,,,2023-04-04,54
ORRF,,,2023-04-04,67
OSBC,,,2023-04-04,97
OSCR,,,2023-04-04,-47
PBF,,,2023-04-04,33
PEG,,,2023-04-04,22
PI,,,2023-04-04,-3
PLBC,,,2023-04-04,39
PMVP,,,2023-04-04,-29
PNRG,,,2023-04-04,15
PNT,,,2023-04-04,189
PSX,,,2023-04-04,14
PTON,,,2023-04-04,-26
RANI,,,2023-04-04,-55
RBLX,,,2023-04-04,-7
RDFN,,,2023-04-04,-34
RDN,,,2023-04-04,60
REPX,,,2023-04-04,30
ROKU,,,2023-04-04,-5
RPT,,,2023-04-04,140
RRGB,,,2023-04-04,-21
SAFE,,,2023-04-04,-11
SFIX,,,2023-04-04,-60
SLB,,,2023-04-04,26
SMMF,,,2023-04-04,68
SNAP,,,2023-04-04,-28
SNFCA,,,2023-04-04,198
SPLP,,,2023-04-04,31
SR,,,2023-04-04,19
SRG,,,2023-04-04,162
SSBK,,,2023-04-04,60
STOK,,,2023-04-04,-38
TCBI,,,2023-04-04,28
TCI,,,2023-04-04,34
TCX,,,2023-04-04,-18
TDOC,,,2023-04-04,-12
TEAM,,,2023-04-04,-2
TPH,,,2023-04-04,53
TPIC,,,2023-04-04,-24
TREE,,,2023-04-04,-12
TSE,,,2023-04-04,-15
U,,,2023-04-04,-10
UBFO,,,2023-04-04,207
UEIC,,,2023-04-04,-31
USX,,,2023-04-04,-51
VABK,,,2023-04-04,37
VERA,,,2023-04-04,-43
VLO,,,2023-04-04,11
VNO,,,2023-04-04,-21
VRNA,,,2023-04-04,-15
VTRS,,,2023-04-04,138
VVI,,,2023-04-04,-16
WEYS,,,2023-04-04,51
WHR,,,2023-04-04,-3
WK,,,2023-04-04,-4
WNEB,,,2023-04-04,162
WRBY,,,2023-04-04,-29
XOM,,,2023-04-04,12
XRX,,,2023-04-04,90
ZETA,,,2023-04-04,-28
ZNTL,,,2023-04-04,-18
ZS,,,2023-04-04,-3
ZUO,,,2023-04-04,-33
ZYME,,,2023-04-04,141
