,ticker,date,trade
0,A,2023-04-04,
1,AA,2023-04-04,
2,AADI,2023-04-04,
3,AAN,2023-04-04,
4,AAON,2023-04-04,
5,AAP,2023-04-04,
6,AAPL,2023-04-04,
7,AAT,2023-04-04,
8,AB,2023-04-04,
9,ABBV,2023-04-04,
10,ABC,2023-04-04,
11,ABCB,2023-04-04,
12,ABCL,2023-04-04,
13,ABG,2023-04-04,
14,ABM,2023-04-04,
15,ABNB,2023-04-04,
16,ABR,2023-04-04,
17,ABT,2023-04-04,
18,AC,2023-04-04,
19,ACA,2023-04-04,0.0
20,ACAD,2023-04-04,
21,ACCD,2023-04-04,
22,ACCO,2023-04-04,
23,ACEL,2023-04-04,
24,ACET,2023-04-04,0.0
25,ACGL,2023-04-04,
26,ACHC,2023-04-04,
27,ACHV,2023-04-04,0.0
28,ACI,2023-04-04,
29,ACIW,2023-04-04,
30,ACLS,2023-04-04,
31,ACLX,2023-04-04,
32,ACM,2023-04-04,
33,ACMR,2023-04-04,
34,ACN,2023-04-04,
35,ACNB,2023-04-04,
36,ACNT,2023-04-04,
37,ACR,2023-04-04,
38,ACRE,2023-04-04,
39,ACRS,2023-04-04,
40,ACT,2023-04-04,
41,ACU,2023-04-04,
42,ACVA,2023-04-04,
43,ADBE,2023-04-04,
44,ADC,2023-04-04,
45,ADEA,2023-04-04,
46,ADI,2023-04-04,
47,ADM,2023-04-04,
48,ADNT,2023-04-04,
49,ADP,2023-04-04,
50,ADPT,2023-04-04,
51,ADSK,2023-04-04,
52,ADT,2023-04-04,
53,ADTN,2023-04-04,
54,ADUS,2023-04-04,
55,AE,2023-04-04,
56,AEE,2023-04-04,
57,AEHR,2023-04-04,
58,AEIS,2023-04-04,
59,AEL,2023-04-04,
60,AEO,2023-04-04,
61,AEP,2023-04-04,
62,AES,2023-04-04,
63,AEYE,2023-04-04,
64,AFBI,2023-04-04,
65,AFCG,2023-04-04,
66,AFG,2023-04-04,
67,AFL,2023-04-04,
68,AFRM,2023-04-04,0.0
69,AGCO,2023-04-04,
70,AGIO,2023-04-04,
71,AGL,2023-04-04,
72,AGM,2023-04-04,
73,AGNC,2023-04-04,-1.0
74,AGO,2023-04-04,
75,AGR,2023-04-04,
76,AGS,2023-04-04,
77,AGTI,2023-04-04,
78,AGX,2023-04-04,
79,AGYS,2023-04-04,
80,AHCO,2023-04-04,
81,AHH,2023-04-04,
82,AI,2023-04-04,
83,AIG,2023-04-04,
84,AIN,2023-04-04,
85,AIR,2023-04-04,
86,AIRC,2023-04-04,
87,AIRG,2023-04-04,
88,AIRS,2023-04-04,
89,AIRT,2023-04-04,
90,AIT,2023-04-04,
91,AIV,2023-04-04,
92,AIZ,2023-04-04,
93,AJG,2023-04-04,
94,AJRD,2023-04-04,
95,AJX,2023-04-04,
96,AKAM,2023-04-04,
97,AKR,2023-04-04,
98,AKRO,2023-04-04,
99,AKYA,2023-04-04,
100,AL,2023-04-04,
101,ALB,2023-04-04,
102,ALCO,2023-04-04,
103,ALDX,2023-04-04,
104,ALE,2023-04-04,
105,ALEC,2023-04-04,
106,ALEX,2023-04-04,
107,ALG,2023-04-04,
108,ALGM,2023-04-04,
109,ALGN,2023-04-04,
110,ALGT,2023-04-04,
111,ALHC,2023-04-04,0.0
112,ALIT,2023-04-04,
113,ALK,2023-04-04,
114,ALKS,2023-04-04,
115,ALKT,2023-04-04,
116,ALL,2023-04-04,
117,ALLE,2023-04-04,
118,ALLO,2023-04-04,
119,ALLY,2023-04-04,
120,ALNY,2023-04-04,
121,ALOT,2023-04-04,
122,ALPN,2023-04-04,
123,ALRM,2023-04-04,
124,ALRS,2023-04-04,
125,ALSN,2023-04-04,
126,ALTG,2023-04-04,
127,ALTR,2023-04-04,
128,ALV,2023-04-04,
129,ALX,2023-04-04,
130,AM,2023-04-04,
131,AMAL,2023-04-04,
132,AMAT,2023-04-04,
133,AMBA,2023-04-04,
134,AMBC,2023-04-04,0.0
135,AMCR,2023-04-04,
136,AMCX,2023-04-04,0.0
137,AMD,2023-04-04,
138,AME,2023-04-04,
139,AMED,2023-04-04,
140,AMEH,2023-04-04,
141,AMG,2023-04-04,0.0
142,AMGN,2023-04-04,
143,AMH,2023-04-04,
144,AMK,2023-04-04,
145,AMKR,2023-04-04,
146,AMLX,2023-04-04,
147,AMN,2023-04-04,
148,AMNB,2023-04-04,
149,AMOT,2023-04-04,
150,AMP,2023-04-04,
151,AMPH,2023-04-04,
152,AMPL,2023-04-04,
153,AMPS,2023-04-04,
154,AMPX,2023-04-04,
155,AMR,2023-04-04,0.0
156,AMRC,2023-04-04,
157,AMRK,2023-04-04,
158,AMSF,2023-04-04,
159,AMSWA,2023-04-04,
160,AMT,2023-04-04,
161,AMTB,2023-04-04,
162,AMWD,2023-04-04,
163,AMZN,2023-04-04,
164,AN,2023-04-04,
165,ANAB,2023-04-04,
166,ANDE,2023-04-04,
167,ANET,2023-04-04,
168,ANF,2023-04-04,
169,ANGO,2023-04-04,
170,ANIK,2023-04-04,
171,ANIP,2023-04-04,
